metal log(age) E_BV dm mass
0.01540 8.80487 0.26347 13.29333 1018.25940
0.01220 8.75541 0.25069 13.23452 1008.05468
0.05796 9.02545 0.20311 13.35134 729.14475
0.04390 9.10994 0.26263 13.57635 1016.18526
0.04390 8.85017 0.30288 13.57635 882.37460
0.04390 8.63128 0.27934 13.57635 1034.10839
0.04706 9.00834 0.26383 13.35772 1125.86848
0.03083 8.82041 0.24567 13.66628 1115.53627
0.02059 8.70686 0.26345 13.46743 704.52143
0.04084 8.55505 0.30114 13.82378 1011.67260
0.05572 8.83000 0.22547 13.58062 1015.27152
0.01102 8.70686 0.26913 13.13967 1097.91569
0.04762 8.98937 0.25894 13.33992 903.83663
0.01179 8.90155 0.26588 13.14599 991.51916
0.03280 8.95914 0.26284 13.77522 983.64790
0.04144 8.95914 0.26035 13.75555 983.64790
0.04144 8.72050 0.22485 13.75555 1011.02140
0.02933 9.00747 0.22485 13.27402 1167.50688
0.03822 8.97014 0.26597 13.34998 626.88428
0.05770 8.97014 0.26597 13.35951 1225.83136
0.04958 8.41269 0.26597 13.33783 690.97716
0.04130 8.88020 0.26597 13.30768 1084.19242
0.03469 8.77309 0.27392 13.62168 1135.94933
0.02783 8.83548 0.24195 13.35957 983.89510
0.04604 8.70686 0.26378 13.63122 1115.53627
0.03480 8.64019 0.26378 13.64495 1090.82374
0.04205 8.64019 0.26355 13.57418 1090.82374
0.03479 9.13121 0.29708 13.63371 984.65939
0.04336 8.90208 0.26327 13.76519 991.51916
0.02233 8.81888 0.24358 13.42323 974.13901
0.05454 8.98279 0.24358 13.58435 983.89510
0.05796 8.70937 0.22962 13.35134 1135.94933
0.02563 8.69269 0.22998 13.38359 1006.30745
0.04766 8.61890 0.27933 13.77739 653.26692
0.04766 8.93170 0.24269 13.77739 653.26692
0.05491 8.92001 0.24269 13.61047 984.65939
0.04192 8.91782 0.28303 13.58234 969.87069
0.05275 8.91782 0.26404 13.60076 997.71472
0.02279 8.83912 0.27292 13.42875 997.71472
0.02515 9.12003 0.27292 13.41025 1042.13845
0.04587 9.12003 0.29862 13.61050 1381.52134
0.04587 8.97014 0.24961 13.61050 633.57240
0.00813 9.15372 0.25426 13.27153 1029.16138
0.03696 9.08290 0.27957 13.76146 1037.57496
0.03696 8.86595 0.26322 13.76146 959.45527
0.03696 8.98937 0.24038 13.76146 1124.21960
0.03696 8.98930 0.29755 13.76146 1034.10839
0.01249 8.78537 0.29755 13.01156 608.28849
0.03923 8.70217 0.26701 13.35295 1044.94598
0.02463 9.01870 0.22485 13.61245 1073.91997
0.04157 8.76806 0.24038 13.28591 1178.17659
0.02953 8.99884 0.24195 13.67043 1003.48212
0.03249 8.97721 0.26081 13.38553 1159.26181
0.03249 8.64699 0.26081 13.38553 998.16494
0.01372 8.80675 0.25426 13.22305 987.51213
0.01345 8.80675 0.24488 13.01907 1128.66724
0.05599 8.76828 0.25672 13.64614 1042.29980
0.01696 9.00737 0.26190 13.55892 1218.72095
0.04144 9.14379 0.29073 13.75886 1051.17178
0.03511 8.95186 0.26546 13.65744 977.15936
0.03511 8.92289 0.26410 13.65744 1158.73707
0.00880 9.03226 0.26410 12.90811 973.27349
