#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.2081 0.5708  0.0069  0.0201  0.9899   0.9896   -0.0598  3.7457   4.4282   4.9198  
11      20.3027 0.5746  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
12      20.4185 0.5814  0.0086  0.0228  0.9610   0.9607   -0.1391  3.7376   4.4620   5.1180  
13      20.4832 0.5700  0.0094  0.0238  0.9514   0.9512   -0.1654  3.7347   4.4725   5.1833  
14      20.3642 0.5879  0.0081  0.0220  0.9689   0.9686   -0.1174  3.7399   4.4528   5.0637  
15      20.4036 0.5421  0.0086  0.0228  0.9610   0.9607   -0.1391  3.7376   4.4620   5.1180  
16      20.1338 0.5759  0.0064  0.0192  1.0007   1.0004   -0.0303  3.7486   4.4147   4.8460  
17      20.6140 0.6057  0.0108  0.0256  0.9354   0.9352   -0.2093  3.7296   4.4886   5.2930  
18      20.1543 0.5638  0.0065  0.0195  0.9972   0.9969   -0.0398  3.7477   4.4191   4.8698  
19      20.1860 0.5812  0.0067  0.0198  0.9936   0.9933   -0.0498  3.7467   4.4236   4.8948  
110     20.2032 0.5565  0.0069  0.0201  0.9899   0.9896   -0.0598  3.7457   4.4282   4.9198  
111     20.1092 0.5647  0.0062  0.0189  1.0036   1.0033   -0.0223  3.7493   4.4109   4.8258  
112     20.1835 0.5739  0.0067  0.0198  0.9936   0.9933   -0.0498  3.7467   4.4236   4.8948  
113     20.2462 0.5750  0.0072  0.0205  0.9848   0.9844   -0.0739  3.7443   4.4343   4.9550  
114     20.2560 0.6033  0.0072  0.0205  0.9848   0.9844   -0.0739  3.7443   4.4343   4.9550  
115     20.5205 0.5814  0.0097  0.0243  0.9469   0.9467   -0.1778  3.7333   4.4772   5.2143  
116     20.3147 0.6081  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
117     20.0788 0.6002  0.0060  0.0185  1.0095   1.0091   -0.0062  3.7507   4.4031   4.7852  
118     20.3591 0.5740  0.0081  0.0220  0.9689   0.9686   -0.1174  3.7399   4.4528   5.0637  
119     20.2965 0.5572  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
120     20.4378 0.5682  0.0089  0.0232  0.9577   0.9574   -0.1484  3.7366   4.4657   5.1410  
121     20.2999 0.5666  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
122     20.4695 0.5923  0.0091  0.0235  0.9545   0.9543   -0.1569  3.7357   4.4691   5.1621  
123     20.1299 0.5640  0.0064  0.0192  1.0007   1.0004   -0.0303  3.7486   4.4147   4.8460  
124     20.1320 0.5703  0.0064  0.0192  1.0007   1.0004   -0.0303  3.7486   4.4147   4.8460  
125     20.1826 0.5714  0.0067  0.0198  0.9936   0.9933   -0.0498  3.7467   4.4236   4.8948  
126     20.1884 0.5886  0.0067  0.0198  0.9936   0.9933   -0.0498  3.7467   4.4236   4.8948  
127     20.4212 0.5884  0.0086  0.0228  0.9610   0.9607   -0.1391  3.7376   4.4620   5.1180  
128     20.6139 0.6055  0.0108  0.0256  0.9354   0.9352   -0.2093  3.7296   4.4886   5.2930  
129     20.4842 0.6303  0.0091  0.0235  0.9545   0.9543   -0.1569  3.7357   4.4691   5.1621  
130     20.1133 0.5773  0.0062  0.0189  1.0036   1.0033   -0.0223  3.7493   4.4109   4.8258  
131     20.3148 0.6084  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
132     20.2427 0.5650  0.0072  0.0205  0.9848   0.9844   -0.0739  3.7443   4.4343   4.9550  
133     20.5219 0.5850  0.0097  0.0243  0.9469   0.9467   -0.1778  3.7333   4.4772   5.2143  
134     20.4073 0.5518  0.0086  0.0228  0.9610   0.9607   -0.1391  3.7376   4.4620   5.1180  
135     20.4655 0.5820  0.0091  0.0235  0.9545   0.9543   -0.1569  3.7357   4.4691   5.1621  
136     20.2439 0.5684  0.0072  0.0205  0.9848   0.9844   -0.0739  3.7443   4.4343   4.9550  
137     20.2134 0.5862  0.0069  0.0201  0.9899   0.9896   -0.0598  3.7457   4.4282   4.9198  
138     20.0795 0.6024  0.0060  0.0185  1.0095   1.0091   -0.0062  3.7507   4.4031   4.7852  
139     20.5330 0.6126  0.0097  0.0243  0.9469   0.9467   -0.1778  3.7333   4.4772   5.2143  
140     20.3132 0.6038  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
141     20.5232 0.5882  0.0097  0.0243  0.9469   0.9467   -0.1778  3.7333   4.4772   5.2143  
142     20.5203 0.5808  0.0097  0.0243  0.9469   0.9467   -0.1778  3.7333   4.4772   5.2143  
143     20.1237 0.5455  0.0064  0.0192  1.0007   1.0004   -0.0303  3.7486   4.4147   4.8460  
144     20.4414 0.5777  0.0089  0.0232  0.9577   0.9574   -0.1484  3.7366   4.4657   5.1410  
145     20.3103 0.5957  0.0076  0.0213  0.9768   0.9765   -0.0956  3.7421   4.4436   5.0094  
146     20.5981 0.5679  0.0108  0.0256  0.9354   0.9352   -0.2093  3.7296   4.4886   5.2930  
147     20.2019 0.5526  0.0069  0.0201  0.9899   0.9896   -0.0598  3.7457   4.4282   4.9198  
148     20.4690 0.5912  0.0091  0.0235  0.9545   0.9543   -0.1569  3.7357   4.4691   5.1621  
149     20.0651 0.5578  0.0060  0.0185  1.0095   1.0091   -0.0062  3.7507   4.4031   4.7852  
150     20.3581 0.5712  0.0081  0.0220  0.9689   0.9686   -0.1174  3.7399   4.4528   5.0637  
151     20.1075 0.5597  0.0062  0.0189  1.0036   1.0033   -0.0223  3.7493   4.4109   4.8258  
152     19.9112 0.5687  0.0052  0.0168  1.0318   1.0315   0.0552   3.7558   4.3715   4.6317  
153     19.7081 0.5799  0.0043  0.0149  1.0621   1.0617   0.1358   3.7613   4.3254   4.4303  
154     19.4884 0.5642  0.0037  0.0133  1.0937   1.0932   0.2208   3.7655   4.2698   4.2179  
155     19.6548 0.5551  0.0042  0.0146  1.0691   1.0687   0.1540   3.7623   4.3140   4.3846  
156     19.8048 0.5729  0.0047  0.0158  1.0474   1.0470   0.0973   3.7590   4.3485   4.5269  
157     19.7486 0.5639  0.0045  0.0153  1.0553   1.0548   0.1181   3.7603   4.3364   4.4749  
158     19.3810 0.5522  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
159     19.4907 0.5724  0.0037  0.0133  1.0937   1.0932   0.2208   3.7655   4.2698   4.2179  
160     19.6171 0.5680  0.0041  0.0142  1.0755   1.0751   0.1704   3.7631   4.3034   4.3441  
161     19.6841 0.5787  0.0043  0.0148  1.0657   1.0653   0.1451   3.7618   4.3196   4.4068  
162     19.7013 0.5562  0.0043  0.0149  1.0621   1.0617   0.1358   3.7613   4.3254   4.4303  
163     20.0403 0.5604  0.0058  0.0182  1.0131   1.0128   0.0038   3.7515   4.3981   4.7603  
164     19.6398 0.5748  0.0041  0.0144  1.0723   1.0719   0.1622   3.7627   4.3087   4.3643  
165     19.5217 0.5560  0.0038  0.0135  1.0887   1.0882   0.2068   3.7649   4.2792   4.2532  
166     19.4142 0.5414  0.0036  0.0128  1.1029   1.1024   0.2476   3.7667   4.2515   4.1509  
167     19.9402 0.5779  0.0053  0.0171  1.0281   1.0278   0.0450   3.7550   4.3769   4.6573  
168     19.8609 0.5644  0.0049  0.0164  1.0389   1.0385   0.0744   3.7573   4.3612   4.5840  
169     19.8189 0.5776  0.0047  0.0159  1.0456   1.0452   0.0923   3.7586   4.3513   4.5393  
170     19.7341 0.5877  0.0044  0.0152  1.0585   1.0581   0.1265   3.7608   4.3312   4.4538  
171     19.3845 0.5648  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
172     19.6788 0.5606  0.0043  0.0148  1.0657   1.0653   0.1451   3.7618   4.3196   4.4068  
173     19.9672 0.5806  0.0054  0.0174  1.0244   1.0240   0.0348   3.7542   4.3823   4.6828  
174     19.3984 0.5495  0.0035  0.0127  1.1053   1.1048   0.2547   3.7670   4.2465   4.1332  
175     19.9616 0.5624  0.0054  0.0174  1.0244   1.0240   0.0348   3.7542   4.3823   4.6828  
176     19.7963 0.5660  0.0047  0.0158  1.0483   1.0479   0.0998   3.7591   4.3471   4.5205  
177     19.9724 0.5973  0.0054  0.0174  1.0244   1.0240   0.0348   3.7542   4.3823   4.6828  
178     19.4343 0.5483  0.0036  0.0129  1.1005   1.1000   0.2404   3.7664   4.2565   4.1685  
179     19.4225 0.5710  0.0036  0.0128  1.1029   1.1024   0.2476   3.7667   4.2515   4.1509  
180     19.7933 0.5560  0.0047  0.0158  1.0483   1.0479   0.0998   3.7591   4.3471   4.5205  
181     19.4358 0.5540  0.0036  0.0129  1.1005   1.1000   0.2404   3.7664   4.2565   4.1685  
182     19.7950 0.5617  0.0047  0.0158  1.0483   1.0479   0.0998   3.7591   4.3471   4.5205  
183     19.5903 0.5469  0.0040  0.0141  1.0787   1.0782   0.1786   3.7635   4.2980   4.3237  
184     19.4143 0.5416  0.0036  0.0128  1.1029   1.1024   0.2476   3.7667   4.2515   4.1509  
185     19.3814 0.5537  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
186     19.5541 0.5449  0.0039  0.0138  1.0837   1.0832   0.1927   3.7642   4.2886   4.2884  
187     20.0138 0.5604  0.0057  0.0179  1.0169   1.0165   0.0142   3.7524   4.3928   4.7344  
188     19.4196 0.5609  0.0036  0.0128  1.1029   1.1024   0.2476   3.7667   4.2515   4.1509  
189     19.3874 0.5755  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
190     19.4848 0.5512  0.0037  0.0133  1.0937   1.0932   0.2208   3.7655   4.2698   4.2179  
191     19.5192 0.5471  0.0038  0.0135  1.0887   1.0882   0.2068   3.7649   4.2792   4.2532  
192     19.4485 0.5594  0.0036  0.0130  1.0990   1.0985   0.2360   3.7662   4.2595   4.1795  
193     19.3756 0.5328  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
194     19.3815 0.5542  0.0035  0.0125  1.1077   1.1072   0.2618   3.7673   4.2415   4.1156  
195     19.5192 0.5470  0.0038  0.0135  1.0887   1.0882   0.2068   3.7649   4.2792   4.2532  
196     19.4185 0.5566  0.0036  0.0128  1.1029   1.1024   0.2476   3.7667   4.2515   4.1509  
197     19.6398 0.5750  0.0041  0.0144  1.0723   1.0719   0.1622   3.7627   4.3087   4.3643  
198     19.7158 0.5248  0.0044  0.0152  1.0585   1.0581   0.1265   3.7608   4.3312   4.4538  
199     19.9166 0.5863  0.0052  0.0168  1.0318   1.0315   0.0552   3.7558   4.3715   4.6317  
1100    19.8863 0.5727  0.0050  0.0166  1.0355   1.0352   0.0654   3.7566   4.3661   4.6063  
1101    19.8294 0.5360  0.0048  0.0161  1.0422   1.0418   0.0834   3.7580   4.3562   4.5616  
1102    19.8009 0.5595  0.0047  0.0158  1.0474   1.0470   0.0973   3.7590   4.3485   4.5269  
1103    19.8126 0.5563  0.0047  0.0159  1.0456   1.0452   0.0923   3.7586   4.3513   4.5393  
1104    19.9318 0.5508  0.0053  0.0171  1.0281   1.0278   0.0450   3.7550   4.3769   4.6573  
1105    19.9108 0.5674  0.0052  0.0168  1.0318   1.0315   0.0552   3.7558   4.3715   4.6317  
1106    19.5670 0.5903  0.0039  0.0138  1.0837   1.0832   0.1927   3.7642   4.2886   4.2884  
1107    19.6557 0.5582  0.0042  0.0146  1.0691   1.0687   0.1540   3.7623   4.3140   4.3846  
