#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.8018 0.1135  0.0128  0.0579  0.8477   0.8477   -0.5683  3.6851   4.6267   6.1908  
11      20.4771 0.1088  0.0087  0.0494  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
12      20.4857 0.1572  0.0087  0.0494  0.8985   0.8985   -0.4546  3.7012   4.6023   5.9066  
13      20.6634 0.2021  0.0106  0.0536  0.8720   0.8720   -0.5136  3.6929   4.6151   6.0541  
14      19.8356 0.0973  0.0047  0.0362  1.0041   1.0041   -0.2258  3.7327   4.5483   5.3344  
15      20.3161 0.1558  0.0073  0.0455  0.9249   0.9249   -0.3956  3.7096   4.5896   5.7591  
16      19.9997 0.1179  0.0054  0.0392  0.9761   0.9761   -0.2847  3.7249   4.5635   5.4820  
17      19.8392 0.1246  0.0047  0.0362  1.0041   1.0041   -0.2258  3.7327   4.5483   5.3344  
18      20.3182 0.1688  0.0073  0.0455  0.9249   0.9249   -0.3956  3.7096   4.5896   5.7591  
19      20.0846 0.1359  0.0058  0.0407  0.9621   0.9621   -0.3145  3.7208   4.5709   5.5565  
110     19.5277 0.0788  0.0038  0.0313  1.0602   1.0602   -0.1114  3.7473   4.5161   5.0485  
111     19.2746 0.0724  0.0032  0.0277  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
112     19.6047 0.1095  0.0039  0.0324  1.0462   1.0462   -0.1392  3.7440   4.5245   5.1178  
113     19.7591 0.1057  0.0044  0.0349  1.0181   1.0181   -0.1969  3.7365   4.5404   5.2620  
114     19.3845 0.1083  0.0034  0.0292  1.0882   1.0882   -0.0559  3.7541   4.4993   4.9100  
115     19.2797 0.1157  0.0032  0.0277  1.1093   1.1093   -0.0154  3.7589   4.4862   4.8087  
116     19.0167 0.0992  0.0029  0.0245  1.1622   1.1622   0.0852   3.7707   4.4528   4.5569  
117     18.8847 0.0860  0.0027  0.0230  1.1886   1.1886   0.1355   3.7766   4.4361   4.4310  
118     18.8838 0.0781  0.0027  0.0230  1.1886   1.1886   0.1355   3.7766   4.4361   4.4310  
119     18.4592 0.0506  0.0024  0.0188  1.2867   1.2867   0.3046   3.7956   4.3776   4.0088  
120     18.5192 0.0640  0.0025  0.0194  1.2727   1.2727   0.2811   3.7930   4.3856   4.0674  
121     18.6332 0.0419  0.0025  0.0205  1.2447   1.2447   0.2342   3.7877   4.4017   4.1846  
122     18.5757 0.0491  0.0025  0.0199  1.2587   1.2587   0.2576   3.7904   4.3937   4.1260  
123     18.3434 0.0371  0.0024  0.0178  1.3148   1.3148   0.3501   3.8006   4.3610   3.8948  
124     18.0302 0.0605  0.0022  0.0154  1.3994   1.3994   0.4768   3.8152   4.3197   3.5781  
125     18.0282 0.0473  0.0022  0.0154  1.3994   1.3994   0.4768   3.8152   4.3197   3.5781  
126     17.6810 0.0406  0.0022  0.0131  1.4993   1.4993   0.6167   3.8323   4.2784   3.2284  
127     17.9321 0.0430  0.0022  0.0147  1.4259   1.4258   0.5151   3.8198   4.3079   3.4825  
128     17.8256 0.0615  0.0022  0.0140  1.4572   1.4572   0.5593   3.8251   4.2945   3.3720  
129     17.4407 0.0024  0.0021  0.0117  1.5752   1.5752   0.7125   3.8464   4.2602   2.9888  
130     17.3653 0.0185  0.0021  0.0113  1.6016   1.6016   0.7449   3.8516   4.2558   2.9081  
131     17.2639 0.0044  0.0021  0.0108  1.6353   1.6353   0.7857   3.8583   4.2508   2.8060  
132     17.2837 -0.0076 0.0021  0.0109  1.6275   1.6275   0.7764   3.8567   4.2516   2.8292  
133     16.9102 -0.0140 0.0021  0.0092  1.7667   1.7668   0.9347   3.8854   4.2438   2.4331  
134     16.9709 -0.0051 0.0021  0.0094  1.7435   1.7435   0.9094   3.8806   4.2444   2.4964  
135     16.5744 -0.0419 0.0021  0.0079  1.9094   1.9094   1.0811   3.9123   4.2388   2.0671  
136     16.5074 -0.0458 0.0021  0.0076  1.9406   1.9406   1.1114   3.9176   4.2370   1.9915  
137     16.2692 -0.0587 0.0021  0.0069  2.0593   2.0593   1.2219   3.9366   4.2281   1.7153  
138     16.1079 -0.0546 0.0021  0.0064  2.1498   2.1498   1.3018   3.9496   4.2191   1.5154  
139     15.8008 -0.0698 0.0021  0.0056  2.3362   2.3362   1.4569   3.9736   4.1957   1.1276  
140     15.9107 -0.0592 0.0021  0.0059  2.2678   2.2678   1.4012   3.9651   4.2049   1.2671  
141     15.6311 -0.0712 0.0021  0.0052  2.4514   2.4513   1.5479   3.9870   4.1794   0.9007  
142     15.2587 -0.0748 0.0021  0.0044  2.7205   2.7205   1.7494   4.0153   4.1366   0.3966  
143     14.9703 -0.0774 0.0021  0.0039  2.9365   2.9365   1.9018   4.0345   4.0941   0.0159  
144     14.7188 -0.0855 0.0021  0.0035  3.1212   3.1212   2.0281   4.0485   4.0502   -0.3004 
145     13.5071 -0.0889 0.0021  0.0022  3.8951   3.8951   2.5444   4.0659   3.6996   -1.5911 
146     12.7791 -0.0688 0.0021  0.0017  4.1931   4.1931   2.7885   4.0422   3.3927   -2.2014 
