#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.5632 0.1993  0.0129  0.0285  0.7627   0.7626   -0.5072  3.7099   4.6190   6.0383  
11      20.7784 0.2132  0.0160  0.0321  0.7379   0.7379   -0.5814  3.6980   4.6313   6.2233  
12      20.7841 0.2247  0.0160  0.0321  0.7379   0.7379   -0.5814  3.6980   4.6313   6.2233  
13      20.4433 0.2101  0.0114  0.0266  0.7781   0.7780   -0.4620  3.7167   4.6099   5.9253  
14      20.4521 0.2307  0.0114  0.0266  0.7781   0.7780   -0.4620  3.7167   4.6099   5.9253  
15      20.2737 0.1649  0.0099  0.0244  0.7975   0.7974   -0.4063  3.7251   4.5982   5.7863  
16      20.2279 0.1811  0.0094  0.0238  0.8042   0.8041   -0.3870  3.7279   4.5937   5.7374  
17      20.6424 0.2340  0.0138  0.0295  0.7550   0.7549   -0.5300  3.7064   4.6236   6.0955  
18      20.2342 0.1972  0.0094  0.0238  0.8042   0.8041   -0.3870  3.7279   4.5937   5.7374  
19      20.6259 0.1988  0.0138  0.0295  0.7550   0.7549   -0.5300  3.7064   4.6236   6.0955  
110     20.6142 0.1737  0.0138  0.0295  0.7550   0.7549   -0.5300  3.7064   4.6236   6.0955  
111     20.5022 0.2038  0.0121  0.0275  0.7705   0.7704   -0.4843  3.7134   4.6144   5.9812  
112     20.3354 0.1930  0.0103  0.0251  0.7910   0.7909   -0.4249  3.7223   4.6021   5.8326  
113     20.2380 0.1723  0.0095  0.0239  0.8024   0.8023   -0.3920  3.7272   4.5950   5.7502  
114     20.4230 0.1628  0.0114  0.0266  0.7781   0.7780   -0.4620  3.7167   4.6099   5.9253  
115     20.3851 0.1916  0.0109  0.0258  0.7846   0.7844   -0.4435  3.7195   4.6060   5.8790  
116     20.4901 0.1765  0.0121  0.0275  0.7705   0.7704   -0.4843  3.7134   4.6144   5.9812  
117     20.4309 0.1813  0.0114  0.0266  0.7781   0.7780   -0.4620  3.7167   4.6099   5.9253  
118     20.4970 0.1920  0.0121  0.0275  0.7705   0.7704   -0.4843  3.7134   4.6144   5.9812  
119     20.4409 0.2045  0.0114  0.0266  0.7781   0.7780   -0.4620  3.7167   4.6099   5.9253  
120     20.3888 0.2005  0.0109  0.0258  0.7846   0.7844   -0.4435  3.7195   4.6060   5.8790  
121     20.2673 0.2094  0.0096  0.0241  0.8006   0.8005   -0.3974  3.7264   4.5963   5.7639  
122     20.3245 0.1665  0.0103  0.0251  0.7910   0.7909   -0.4249  3.7223   4.6021   5.8326  
123     20.6715 0.2056  0.0144  0.0302  0.7497   0.7496   -0.5454  3.7041   4.6266   6.1340  
124     20.1456 0.1698  0.0087  0.0228  0.8146   0.8145   -0.3574  3.7320   4.5861   5.6638  
125     20.3769 0.1721  0.0109  0.0258  0.7846   0.7844   -0.4435  3.7195   4.6060   5.8790  
126     20.2575 0.1848  0.0096  0.0241  0.8006   0.8005   -0.3974  3.7264   4.5963   5.7639  
127     20.2296 0.1856  0.0094  0.0238  0.8042   0.8041   -0.3870  3.7279   4.5937   5.7374  
128     20.6883 0.2013  0.0147  0.0306  0.7475   0.7474   -0.5522  3.7030   4.6276   6.1502  
