metal log(age) E_BV dm mass
0.04100 8.31300 0.17255 14.58938 1100.00000
0.04100 8.31300 0.25885 14.58938 1300.00000
0.04100 9.12200 0.10096 13.45448 500.00000
0.04100 9.12200 0.11500 13.45448 600.00000
0.01700 9.12200 0.21478 14.74013 600.00000
0.04900 7.87000 0.13442 14.74013 400.00000
0.00500 7.89300 0.12780 14.74013 600.00000
0.04100 8.92700 0.15271 14.74013 600.00000
0.03700 7.39000 0.15271 14.56211 600.00000
0.01300 8.49300 0.15408 14.56211 1100.00000
0.03500 8.13300 0.15408 14.61091 300.00000
0.02700 8.15500 0.13717 14.61091 1100.00000
0.04700 9.07700 0.16370 14.80979 1100.00000
0.03500 9.07700 0.16851 14.89968 400.00000
0.00100 8.59700 0.19825 14.50659 800.00000
0.01300 8.47700 0.16849 14.37942 800.00000
0.03300 7.99800 0.27888 14.43565 800.00000
0.02300 7.99800 0.15049 14.09545 500.00000
0.02500 7.51000 0.05401 14.77023 800.00000
0.02500 8.65700 0.14354 14.23605 700.00000
0.03900 8.23000 0.14354 14.39697 400.00000
0.01500 7.87000 0.14926 14.20582 400.00000
0.03900 7.11300 0.30328 13.14061 400.00000
0.01500 8.42500 0.14318 14.65815 1000.00000
0.01900 7.61500 0.10049 14.65815 1000.00000
0.01900 9.60200 0.20564 14.65815 1600.00000
0.01900 8.11800 0.23586 14.31095 800.00000
0.03900 7.87800 0.13524 14.55113 800.00000
0.00700 7.60000 0.11812 14.77304 800.00000
0.00700 8.01300 0.13708 14.95622 800.00000
0.01300 8.21500 0.14892 14.24722 300.00000
0.03100 8.94200 0.13826 13.54000 500.00000
0.04300 7.75800 0.13826 14.40850 400.00000
0.02100 7.75800 0.19708 14.04889 800.00000
0.02100 7.35300 0.13517 14.15671 300.00000
0.02100 8.20000 0.08510 14.99783 700.00000
0.05300 7.53300 0.08510 14.97885 600.00000
0.02100 7.33000 0.06032 14.81260 700.00000
0.01300 8.74700 0.09117 14.89941 400.00000
0.01300 8.89000 0.24425 14.99300 400.00000
0.01300 7.72800 0.16341 14.98011 600.00000
0.01300 8.21500 0.18772 13.99890 500.00000
0.05900 8.80700 0.17251 14.93419 400.00000
0.05900 8.65000 0.08258 14.38543 400.00000
0.03900 8.34300 0.08527 14.67329 500.00000
0.05700 7.96000 0.15177 14.67329 500.00000
0.05700 8.89700 0.32615 13.24846 500.00000
0.02100 7.89300 0.18593 14.82134 1200.00000
0.05900 7.84800 0.10198 14.82134 800.00000
0.01500 8.51500 0.11364 14.46713 900.00000
0.01500 8.51500 0.14078 14.46713 200.00000
0.00300 8.51500 0.14078 14.54996 1100.00000
0.05100 8.51500 0.11667 14.16285 700.00000
0.05100 8.05800 0.20011 14.55951 700.00000
0.00700 7.67500 0.15620 14.56478 1100.00000
0.00700 8.15500 0.36663 14.56478 400.00000
0.02700 7.88500 0.19646 14.83146 1100.00000
0.04100 7.88500 0.14991 14.84823 400.00000
0.02900 8.09500 0.24508 14.52169 900.00000
0.00700 8.70200 0.13167 13.34117 700.00000
0.05300 8.70200 0.20592 13.88687 500.00000
0.00300 7.23300 0.10417 13.88687 600.00000
0.01900 8.26800 0.30677 13.88687 700.00000
0.01700 8.26000 0.11725 14.64316 700.00000
0.01700 8.26000 0.11725 14.46773 700.00000
0.01700 7.71300 0.10941 14.88507 600.00000
0.03100 8.26000 0.20756 14.88507 200.00000
0.05900 8.26000 0.01427 14.88507 200.00000
0.05900 8.58200 0.14051 14.09174 200.00000
0.01300 8.50000 0.12915 14.56478 300.00000
0.05100 8.50000 0.06260 14.12905 1000.00000
0.00300 8.61200 0.14864 14.78301 1300.00000
0.03100 8.09500 0.21100 14.78301 1000.00000
0.03100 8.02800 0.19901 14.77641 400.00000
0.00900 8.62000 0.13299 14.50524 400.00000
0.00300 8.15500 0.13299 14.63333 900.00000
0.03100 8.17800 0.13299 14.02459 800.00000
0.02700 8.17800 0.13299 14.28976 400.00000
0.00300 8.17800 0.20709 13.86214 1000.00000
0.03500 8.17800 0.29413 14.44621 700.00000
0.03500 7.86300 0.13711 13.91969 400.00000
0.02300 8.48500 0.31487 14.45705 400.00000
0.01300 8.53000 0.22506 14.74651 1400.00000
0.03500 8.60500 0.15410 14.74651 300.00000
0.00900 7.81800 0.09438 14.64398 1400.00000
0.00900 8.35000 0.09438 14.60763 400.00000
0.00900 7.78000 0.16672 14.60763 600.00000
0.02300 7.93800 0.14585 14.91251 1500.00000
0.00300 8.47000 0.29344 14.78082 1500.00000
0.02100 8.67200 0.11898 14.67597 1000.00000
0.02100 7.76500 0.18665 14.89749 400.00000
0.03100 7.51800 0.07610 14.35374 600.00000
0.03100 8.51500 0.17342 14.36308 600.00000
0.04500 7.66000 0.17131 14.84797 500.00000
0.04500 8.53000 0.17131 14.80146 400.00000
0.02300 8.52200 0.24651 14.93770 900.00000
0.01300 8.38800 0.24651 14.17529 600.00000
0.01500 7.85500 0.24651 14.13553 900.00000
0.03700 7.85500 0.17131 14.84218 900.00000
0.02300 8.43300 0.19877 14.84218 900.00000
0.02300 8.43300 0.19877 13.82105 1100.00000
0.02700 7.75800 0.11779 14.94685 400.00000
0.02300 7.75000 0.16698 14.89625 200.00000
0.02300 8.68000 0.16698 14.44555 1300.00000
0.02500 8.68000 0.14705 13.96118 200.00000
0.01300 8.68000 0.16251 14.17933 800.00000
0.02300 8.68000 0.21611 14.78131 700.00000
0.02100 8.68000 0.15446 14.78131 500.00000
0.02100 7.46500 0.07757 14.75831 500.00000
0.03900 8.31300 0.07757 14.55190 500.00000
0.03300 9.41500 0.07757 14.95155 300.00000
0.01700 8.16300 0.11227 14.72338 300.00000
0.03900 8.16300 0.27006 14.98263 300.00000
0.01300 8.16300 0.13317 14.94852 800.00000
0.00900 8.16300 0.09697 13.06814 1000.00000
0.02300 8.66500 0.07090 14.24210 1000.00000
0.02300 7.52500 0.14796 14.44006 900.00000
0.02300 8.48500 0.13524 13.31124 600.00000
0.01900 8.19300 0.22893 13.31124 400.00000
0.01900 7.44300 0.08907 14.70708 700.00000
0.01900 8.08000 0.10143 14.62427 1100.00000
0.02900 8.08000 0.24772 14.28394 600.00000
0.03300 8.51500 0.14879 14.36982 600.00000
0.02300 8.26000 0.20542 14.70893 400.00000
0.00300 7.33700 0.20542 14.79204 500.00000
0.03700 7.33700 0.11409 14.79204 300.00000
0.01700 8.35000 0.11888 14.79204 500.00000
0.01700 7.45000 0.12646 14.79204 600.00000
0.02500 8.95000 0.12216 14.73920 600.00000
0.04900 8.23800 0.21372 14.99132 1800.00000
0.00900 7.98300 0.14254 14.85040 600.00000
0.05300 8.67200 0.19032 14.13061 1000.00000
0.04900 7.84800 0.18063 14.50674 400.00000
0.02500 7.77300 0.17880 14.50674 900.00000
0.03900 8.84500 0.17880 14.27889 1400.00000
0.02900 8.32000 0.25143 14.54744 600.00000
0.00300 7.66800 0.20119 14.54744 600.00000
0.00300 7.82500 0.18703 14.47742 1400.00000
0.00300 7.82500 0.18703 14.14992 700.00000
0.00700 8.17800 0.22238 14.58979 900.00000
0.00700 8.38000 0.11957 14.74571 500.00000
0.00700 8.38000 0.23219 14.74571 500.00000
0.00500 8.38000 0.17211 14.78136 300.00000
0.03500 7.37500 0.17211 14.88433 600.00000
0.03500 7.71300 0.18710 14.82397 800.00000
0.03500 7.37500 0.35788 14.70039 700.00000
0.03500 7.37500 0.09780 14.70039 700.00000
0.03500 8.26800 0.20551 14.70039 600.00000
0.01500 8.59000 0.14067 14.66403 400.00000
0.01700 8.11800 0.11084 13.88665 400.00000
0.03100 9.37700 0.12450 14.78890 1100.00000
0.02100 8.93500 0.12450 14.37480 500.00000
0.02100 8.76200 0.12450 14.93378 700.00000
0.04500 7.66000 0.11903 14.85853 700.00000
0.03700 8.07300 0.11647 14.85853 1600.00000
0.01300 7.34500 0.27572 14.64829 900.00000
0.02900 7.34500 0.27769 14.64829 900.00000
0.04700 8.38800 0.32501 14.77542 700.00000
0.04700 8.02000 0.10489 13.97195 700.00000
0.00300 8.02000 0.17848 13.97195 400.00000
0.00500 8.11000 0.17848 13.97195 200.00000
0.00100 8.58200 0.10823 13.97195 700.00000
0.01900 8.68700 0.19677 13.97195 600.00000
0.05100 8.68700 0.19278 14.92315 400.00000
0.01300 8.68700 0.11006 14.62868 700.00000
0.01100 8.68700 0.11006 14.62868 700.00000
0.02900 7.84000 0.12395 13.61985 800.00000
0.01900 8.47700 0.12519 14.70469 700.00000
0.00900 8.47700 0.11870 14.70469 400.00000
0.00500 8.41800 0.10736 14.70469 900.00000
0.00500 9.49000 0.15751 14.70469 900.00000
0.03500 7.67500 0.15935 14.70469 400.00000
0.02100 7.74300 0.16452 14.70469 800.00000
0.03700 7.74300 0.16749 14.23785 600.00000
0.01900 8.05800 0.30292 14.70967 600.00000
0.01100 8.05800 0.17058 14.79414 400.00000
0.01100 9.71500 0.33916 14.24741 400.00000
0.01500 8.83700 0.10967 14.79635 500.00000
0.01500 8.97200 0.19097 14.10830 400.00000
0.01300 9.70000 0.39369 14.62670 300.00000
0.01100 8.75500 0.18241 14.58490 700.00000
0.05500 8.84500 0.12621 14.82676 700.00000
0.02500 8.94200 0.17161 13.88778 700.00000
0.00500 8.94200 0.09351 13.88778 500.00000
0.03900 8.94200 0.17007 13.88778 700.00000
0.02500 9.65500 0.17007 14.84215 500.00000
0.00300 7.84000 0.17007 14.58207 600.00000
0.00300 7.57000 0.17007 14.47481 900.00000
0.00700 9.91000 0.17007 14.47481 600.00000
0.00900 8.44000 0.17007 14.98942 400.00000
0.03300 8.44000 0.12450 14.89555 300.00000
0.03300 8.44000 0.10106 14.89555 600.00000
0.03300 8.44000 0.17058 14.60769 600.00000
0.03300 8.44000 0.17912 14.86857 800.00000
0.03300 8.44000 0.11981 14.68322 1400.00000
0.01100 7.87800 0.11057 14.61133 700.00000
0.04300 8.70200 0.11057 14.38316 400.00000
0.00300 8.50000 0.14452 13.69568 400.00000
0.01900 8.50000 0.14452 13.64526 400.00000
0.04100 7.79500 0.14452 14.68322 400.00000
0.01500 7.79500 0.14452 14.44027 400.00000
0.02900 7.75000 0.14452 14.44027 700.00000
0.02900 7.42800 0.12347 14.44027 700.00000
0.03100 8.52200 0.11741 14.54181 500.00000
0.03100 8.95700 0.13202 14.51019 500.00000
0.02700 7.59300 0.09745 14.32361 500.00000
0.02500 7.59300 0.19055 13.45052 600.00000
0.01900 8.98000 0.10195 13.73338 700.00000
0.03300 7.35300 0.12725 14.63761 600.00000
