#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      21.0549 0.2727  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
11      20.6867 0.2279  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
12      20.7162 0.1955  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
13      20.7997 0.2847  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
14      20.6747 0.2002  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
15      20.7805 0.2419  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
16      21.0662 0.2957  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
17      20.6810 0.2148  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
18      20.8966 0.2138  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
19      20.7223 0.2094  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
110     20.7015 0.2619  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
111     20.8034 0.2928  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
112     21.1046 0.2586  0.0274  0.0540  0.7482   0.7482   -0.6664  3.6763   4.6356   6.4355  
113     20.7404 0.2503  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
114     20.7825 0.2463  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
115     20.8977 0.2161  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
116     20.7715 0.2219  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
117     20.8203 0.3306  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
118     20.7610 0.1984  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
119     20.6919 0.1405  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
120     21.1326 0.3139  0.0274  0.0540  0.7482   0.7482   -0.6664  3.6763   4.6356   6.4355  
121     20.6989 0.2560  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
122     20.5616 0.2328  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
123     20.7777 0.2355  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
124     21.0486 0.2602  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
125     20.7109 0.2836  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
126     20.7667 0.3099  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
127     20.7596 0.2939  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
128     20.9012 0.2236  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
129     20.8270 0.3455  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
130     20.7399 0.2492  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
131     20.6813 0.2154  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
132     20.6869 0.2283  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
133     21.0930 0.3497  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
134     21.0994 0.3625  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
135     20.8225 0.3354  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
136     20.7148 0.2926  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
137     20.6805 0.2136  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
138     20.7802 0.2411  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
139     20.9038 0.2291  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
140     20.5600 0.2288  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
141     20.7813 0.2437  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
142     20.7390 0.2472  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
143     20.5741 0.2629  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
144     20.8174 0.3242  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
145     20.5542 0.2150  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
146     20.7291 0.3255  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
147     20.8992 0.2193  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
148     20.5606 0.2303  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
149     20.5538 0.2140  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
150     20.7664 0.3091  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
151     20.9155 0.2538  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
152     20.7617 0.2000  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
153     20.6936 0.2437  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
154     20.6773 0.2063  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
155     20.5634 0.2372  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
156     20.8031 0.2923  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
157     20.9144 0.2516  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
158     20.8213 0.3327  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
159     20.5763 0.2682  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
160     20.6611 0.1690  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
161     20.9416 0.3093  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
162     20.7119 0.2858  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
163     20.5859 0.2914  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
164     20.5764 0.2685  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
165     20.8910 0.2020  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
166     20.7311 0.2293  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
167     20.5720 0.2579  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
168     20.7843 0.2504  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
169     20.8957 0.2119  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
170     20.7819 0.2450  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
171     20.5652 0.2415  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
172     20.7176 0.2989  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
173     20.9149 0.2526  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
174     20.7000 0.2584  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
175     20.7995 0.2842  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
176     20.7126 0.2875  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
177     20.8096 0.3066  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
178     20.6761 0.2035  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
179     20.5701 0.2533  0.0166  0.0401  0.8154   0.8153   -0.4814  3.7047   4.6016   5.9732  
180     20.8077 0.3025  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
181     20.6766 0.2046  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
182     20.6797 0.2119  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
183     20.8157 0.3202  0.0203  0.0452  0.7871   0.7871   -0.5577  3.6932   4.6166   6.1646  
184     20.9215 0.2666  0.0229  0.0486  0.7711   0.7711   -0.6023  3.6863   4.6247   6.2757  
185     20.7325 0.2323  0.0195  0.0441  0.7927   0.7927   -0.5424  3.6956   4.6137   6.1259  
186     20.6964 0.2503  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
187     21.0627 0.2885  0.0259  0.0523  0.7550   0.7550   -0.6471  3.6794   4.6328   6.3875  
188     20.6863 0.2269  0.0187  0.0430  0.7984   0.7983   -0.5270  3.6979   4.6109   6.0872  
