metal log(age) E_BV dm mass
0.00700 9.94700 0.21448 13.58012 2200.00000
0.00900 9.86500 0.22916 13.79528 2300.00000
0.00900 9.86500 0.22916 13.79528 2200.00000
0.00900 9.86500 0.22916 13.79528 2600.00000
0.00700 9.95500 0.22577 13.56283 2200.00000
0.00700 9.95500 0.22577 13.56283 2200.00000
0.01100 9.75200 0.25681 13.92735 2200.00000
0.00700 9.94700 0.21464 13.58144 2200.00000
0.00900 9.86500 0.22836 13.79778 2200.00000
0.00900 9.86500 0.22836 13.79778 2200.00000
0.00900 9.86500 0.22836 13.79778 2200.00000
0.00700 9.92500 0.22227 13.61172 2200.00000
0.00700 9.94700 0.21461 13.57971 2200.00000
0.00900 9.86500 0.22918 13.79434 2300.00000
0.00900 9.86500 0.22918 13.79434 2300.00000
0.00900 9.86500 0.22918 13.79434 1600.00000
0.00900 9.86500 0.22834 13.79912 1600.00000
0.00900 9.86500 0.22928 13.79464 2200.00000
0.00900 9.86500 0.22927 13.79530 2200.00000
0.00900 9.86500 0.22929 13.79428 2200.00000
0.00900 9.86500 0.22929 13.79428 2700.00000
0.00900 9.86500 0.22871 13.79561 2700.00000
0.00900 9.86500 0.22871 13.79561 2700.00000
0.00700 9.92500 0.22203 13.61143 2700.00000
0.00700 9.92500 0.22204 13.61142 2700.00000
0.00700 9.92500 0.22204 13.61142 2700.00000
0.00700 9.92500 0.22204 13.61142 2700.00000
0.00700 9.92500 0.22204 13.61142 2700.00000
0.00700 9.92500 0.22204 13.61142 2700.00000
0.00700 9.94700 0.21461 13.57971 2700.00000
0.00700 9.94700 0.21461 13.57971 2700.00000
0.00700 9.94700 0.21461 13.57971 2700.00000
0.00700 9.94700 0.21461 13.57971 2700.00000
0.00700 9.94700 0.21461 13.57971 2700.00000
0.00900 9.88000 0.22756 13.85689 2700.00000
0.00700 9.94700 0.21431 13.58424 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00700 9.92500 0.22244 13.60977 2700.00000
0.00900 9.86500 0.22922 13.79438 2700.00000
0.00900 9.86500 0.22922 13.79438 2700.00000
0.00700 9.94700 0.22318 13.59061 2700.00000
0.00900 9.88000 0.22737 13.88835 2700.00000
0.00900 9.88000 0.22756 13.85872 2700.00000
0.00900 9.88000 0.22747 13.88867 2200.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61037 2200.00000
0.00700 9.92500 0.22217 13.61037 2300.00000
0.00700 9.92500 0.22217 13.61036 2300.00000
0.00900 9.86500 0.22936 13.79368 2300.00000
0.00900 9.86500 0.22936 13.79368 2200.00000
0.00700 9.92500 0.22197 13.61244 2200.00000
0.00700 9.92500 0.22197 13.61244 2200.00000
0.00700 9.92500 0.22197 13.61244 2300.00000
0.00700 9.92500 0.22197 13.61244 2300.00000
0.00900 9.86500 0.22893 13.79682 1600.00000
0.00900 9.86500 0.22892 13.79702 1600.00000
0.00900 9.86500 0.22892 13.79702 2200.00000
0.00900 9.86500 0.22892 13.79702 2200.00000
0.00700 9.94700 0.22309 13.59022 2500.00000
0.00700 9.94700 0.22320 13.59055 2600.00000
0.00700 9.94700 0.22320 13.59055 2700.00000
0.00700 9.95500 0.20763 13.57623 1600.00000
0.00900 9.84200 0.22944 13.80423 1600.00000
0.00900 9.88000 0.22738 13.88721 2200.00000
0.00700 9.94700 0.21471 13.57977 2200.00000
0.00900 9.86500 0.22861 13.79690 2200.00000
0.00700 9.92500 0.22206 13.61097 2300.00000
0.00700 9.92500 0.22206 13.61097 2300.00000
0.00700 9.94700 0.21471 13.57977 2300.00000
0.00700 9.95500 0.20784 13.57598 2300.00000
0.00700 9.92500 0.22234 13.61138 1600.00000
0.00700 9.94700 0.21449 13.58151 1600.00000
0.00700 9.94700 0.21472 13.58351 1600.00000
0.01100 9.75200 0.25674 13.92517 1600.00000
0.01100 9.75200 0.25674 13.92517 1600.00000
0.00700 9.92500 0.22241 13.61067 2100.00000
0.00700 9.92500 0.22241 13.61067 2600.00000
0.00700 9.92500 0.22241 13.61067 2200.00000
0.00700 9.92500 0.22241 13.61067 2200.00000
0.00700 9.92500 0.22241 13.61067 1600.00000
0.00900 9.86500 0.22930 13.79492 1600.00000
0.00900 9.86500 0.22930 13.79492 1600.00000
0.00700 9.92500 0.22225 13.61037 1600.00000
0.00700 9.92500 0.22224 13.61083 2300.00000
0.00700 9.92500 0.22224 13.61083 2300.00000
0.00900 9.88000 0.23235 13.84405 2300.00000
0.00900 9.88000 0.23235 13.84405 2300.00000
0.00900 9.88000 0.23235 13.84405 2200.00000
0.00900 9.88000 0.23232 13.84485 2200.00000
0.00700 9.94700 0.22295 13.59017 2600.00000
0.00700 9.92500 0.22248 13.61018 2200.00000
0.00700 9.96200 0.21717 13.54270 2200.00000
0.00700 9.95500 0.22536 13.56448 2200.00000
0.00700 9.95500 0.22536 13.56448 2200.00000
0.00700 9.95500 0.22536 13.56448 2700.00000
0.00900 9.88000 0.22753 13.85868 2600.00000
0.00900 9.88000 0.22753 13.85868 2200.00000
0.00700 9.96200 0.21717 13.54270 2500.00000
0.00700 9.96200 0.21717 13.54270 2700.00000
0.00900 9.86500 0.22912 13.79517 2700.00000
0.00700 9.91000 0.22881 13.59288 2200.00000
0.00700 9.94700 0.22301 13.59042 2200.00000
0.00900 9.88000 0.23232 13.84455 2200.00000
0.00900 9.88000 0.23226 13.84411 2200.00000
0.00900 9.86500 0.22737 13.88585 2200.00000
0.00900 9.86500 0.22895 13.79729 2200.00000
0.00900 9.86500 0.22941 13.79510 2200.00000
0.00900 9.88000 0.23228 13.84487 2200.00000
0.00700 9.95500 0.20778 13.57551 2200.00000
0.00900 9.88000 0.23238 13.84346 2200.00000
0.00700 9.91000 0.22873 13.59920 2200.00000
0.00900 9.88000 0.22753 13.85868 2500.00000
0.00700 9.94700 0.22320 13.58976 2500.00000
0.00700 9.94700 0.22320 13.58976 2200.00000
0.00700 9.94700 0.22320 13.58976 1800.00000
0.00900 9.86500 0.22941 13.79482 2600.00000
0.00900 9.86500 0.22941 13.79482 2600.00000
0.00700 9.92500 0.22248 13.61018 2300.00000
0.00700 9.92500 0.22248 13.61018 2200.00000
0.00900 9.86500 0.22848 13.79845 2600.00000
0.00700 9.94700 0.21434 13.58419 2500.00000
0.00700 9.92500 0.22175 13.61250 2200.00000
0.00900 9.86500 0.22843 13.79608 1600.00000
0.00700 9.94700 0.21475 13.57936 2300.00000
0.00700 9.94700 0.21475 13.57936 2300.00000
0.00700 9.92500 0.22183 13.61210 2200.00000
0.00700 9.92500 0.22183 13.61210 2200.00000
0.00700 9.92500 0.22183 13.61210 2200.00000
0.00700 9.94700 0.21441 13.58029 1600.00000
0.00900 9.86500 0.22941 13.79510 1600.00000
0.00900 9.86500 0.22941 13.79510 1600.00000
0.00700 9.92500 0.22197 13.61244 1600.00000
0.00900 9.85000 0.23418 13.85684 2200.00000
0.00700 9.96200 0.21717 13.54248 2600.00000
0.00900 9.84200 0.22984 13.80380 2600.00000
0.00900 9.86500 0.22922 13.79588 2600.00000
0.00700 9.96200 0.21716 13.54171 1600.00000
0.00700 9.92500 0.22215 13.61045 1600.00000
0.00700 9.92500 0.22215 13.61045 2300.00000
0.00700 9.92500 0.22215 13.61045 2300.00000
0.00900 9.86500 0.22906 13.79679 2500.00000
0.00900 9.86500 0.22906 13.79679 2500.00000
0.01100 9.75200 0.25674 13.92640 2300.00000
0.00900 9.86500 0.22872 13.79629 2500.00000
0.00900 9.86500 0.22872 13.79629 2300.00000
0.00900 9.86500 0.22872 13.79629 2200.00000
0.00900 9.86500 0.22872 13.79629 2200.00000
0.00900 9.86500 0.22872 13.79629 2200.00000
0.00700 9.92500 0.22180 13.61229 2600.00000
0.00700 9.96200 0.21687 13.54232 2600.00000
0.00900 9.84200 0.23754 13.80064 2700.00000
0.00700 9.94700 0.21652 13.50292 2700.00000
0.00700 9.94700 0.21429 13.58078 2700.00000
0.00700 9.92500 0.22207 13.61141 2700.00000
0.00700 9.94700 0.22305 13.58818 2700.00000
0.00700 9.94700 0.21438 13.58378 2700.00000
0.00900 9.86500 0.22933 13.79411 2700.00000
0.00900 9.86500 0.22933 13.79411 2700.00000
0.00900 9.86500 0.22933 13.79411 2700.00000
0.00700 9.95500 0.22534 13.56391 2700.00000
0.01100 9.75200 0.25680 13.92475 2700.00000
0.00700 9.95500 0.22575 13.56354 2700.00000
0.00700 9.95500 0.22578 13.56319 2700.00000
0.00900 9.84200 0.23000 13.80034 1600.00000
0.00900 9.84200 0.23000 13.80034 2600.00000
0.00900 9.86500 0.22892 13.79720 2700.00000
0.00900 9.88000 0.23227 13.84540 2300.00000
0.00900 9.88000 0.23227 13.84540 2300.00000
0.00700 9.94700 0.21436 13.58322 2300.00000
0.00900 9.88000 0.23227 13.84540 2300.00000
0.00900 9.88000 0.23227 13.84540 2300.00000
0.00900 9.88000 0.23227 13.84540 2200.00000
0.00900 9.88000 0.23230 13.84427 2300.00000
0.00900 9.88000 0.23230 13.84427 2300.00000
0.00900 9.86500 0.22846 13.79714 2300.00000
0.00900 9.86500 0.22846 13.79714 2200.00000
0.00900 9.86500 0.22836 13.79663 2200.00000
0.00900 9.86500 0.22836 13.79663 2200.00000
0.00700 9.94700 0.21429 13.58057 2200.00000
0.00700 9.94700 0.21429 13.58057 2200.00000
0.00700 9.94700 0.21429 13.58057 1600.00000
0.00700 9.94700 0.21429 13.58057 2200.00000
0.00700 9.94700 0.21430 13.58058 2600.00000
0.00700 9.94700 0.21453 13.58473 1600.00000
0.00700 9.94700 0.21650 13.50304 2300.00000
0.00700 9.94700 0.22307 13.58879 2300.00000
0.00700 9.94700 0.22307 13.58879 2300.00000
0.00700 9.94700 0.22307 13.58879 2300.00000
0.00900 9.84200 0.22935 13.80324 2200.00000
0.01100 9.75200 0.25675 13.92768 2300.00000
0.00700 9.94700 0.21464 13.58399 2300.00000
0.00700 9.94700 0.21464 13.58399 2700.00000
0.00900 9.84200 0.22973 13.80368 1600.00000
0.00900 9.88000 0.23234 13.84512 2200.00000
0.00900 9.86500 0.22914 13.79437 2200.00000
0.00900 9.86500 0.22942 13.79457 2200.00000
0.00900 9.86500 0.22942 13.79457 2200.00000
