ID,x,y,mag1,e_mag,col1,e_col1,MP,sel
Gaia DR2 5698163451256166400,0.016826,0.014654,19.733312367949065,0.004444864443099109,0.2201999999999984,0.021337759957408838,0.632,1
Gaia DR2 5698139609890480640,-0.02597,-0.052033,19.73128697907013,0.004607391506692086,0.16000000000000014,0.05422619293293602,0.631,1
Gaia DR2 5698163348176871424,0.028133,-0.004578,18.785874463111988,0.0030939124106386176,0.1095000000000006,0.009220086767487604,0.557,1
Gaia DR2 5698162935859842432,0.020876,-0.042487,17.49782010519542,0.0021146088352825346,0.09849999999999781,0.009394147114027968,0.544,1
Gaia DR2 5698163176378179456,0.045393,-0.004546,18.699429786921783,0.0027007939881486167,0.15760000000000218,0.011660617479361889,0.535,1
Gaia DR2 5698163829213286784,0.034935,0.013996,19.771595673517194,0.004622798972585758,0.2245999999999988,0.017677669529663688,0.527,1
Gaia DR2 5698166852870384000,0.016553,0.04419,18.70896292443377,0.0029222320079429283,0.12790000000000035,0.010807867504739315,0.521,1
Gaia DR2 5698163352479361280,0.02888,-0.009837,17.616821721867858,0.0021536811936647307,0.0818000000000012,0.007998124780221924,0.513,1
Gaia DR2 5698166410486180736,0.018741,0.024562,19.290040126075493,0.003659281683746593,0.12830000000000297,0.018111046352985792,0.511,1
Gaia DR2 5698163421189011200,0.007187,0.004112,19.778430439960108,0.0047765148657397,0.22409999999999997,0.019971980372511883,0.51,1
Gaia DR2 5698163451256132608,0.023173,0.006231,18.79525163311973,0.0029111592094520963,0.12409999999999854,0.021220037700249262,0.504,1
Gaia DR2 5698166376136346112,0.002462,0.006095,18.794283689944134,0.002873924379115528,0.10089999999999932,0.00914166286842826,0.503,1
Gaia DR2 5698166681071686656,-0.008649,0.042513,19.744041901891894,0.004723262725451742,0.20179999999999865,0.02127580785775243,0.499,1
Gaia DR2 5698163382536652160,0.029381,0.005281,19.911985306326226,0.005157684693547931,0.26170000000000115,0.01352479205015737,0.489,1
Gaia DR2 5698163416896397312,0.015774,0.007017,19.919285538797954,0.005244810317047269,0.2518000000000029,0.026978509966267595,0.478,1
Gaia DR2 5698166238687633024,-0.016352,-0.006981,18.69984705316828,0.0027475807305328164,0.09970000000000212,0.012601587201618691,0.476,1
Gaia DR2 5698162970219614080,0.032311,-0.035539,18.02519786785873,0.0022643879169958873,0.08990000000000009,0.007874642849044012,0.474,1
Gaia DR2 5698166749791185152,-0.019698,0.047805,19.744587978867628,0.004828426577536602,0.19539999999999935,0.017387639287723907,0.474,1
Gaia DR2 5698167059028837504,0.003456,0.050857,19.976139333654825,0.004899810100212359,0.35630000000000095,0.030961427615663978,0.474,1
Gaia DR2 5698163386829209600,0.030397,0.003765,19.50716707133922,0.0037628485198886474,0.18100000000000094,0.02093466025518446,0.47,1
Gaia DR2 5698166852870379392,0.011194,0.042724,18.70096061862219,0.0029116694087255564,0.12190000000000012,0.00952732911156112,0.468,1
Gaia DR2 5698163318119637632,0.004906,-0.016549,19.565707314542227,0.003961433334710775,0.21219999999999928,0.017628386199536248,0.465,1
Gaia DR2 5698163038939120640,0.026456,-0.028025,19.28350104838132,0.003222533660285941,0.14360000000000284,0.014354441821262156,0.462,1
Gaia DR2 5698163451256147712,0.023017,0.009449,17.79672429013502,0.002125952900210223,0.09980000000000189,0.007470609078247904,0.461,1
Gaia DR2 5698166784150872320,0.02893,0.035175,18.779773803936067,0.0028678159800023324,0.1374999999999993,0.01701763790894612,0.461,1
Gaia DR2 5698163348176842496,0.024601,-0.011296,18.032509181824498,0.002222612389432539,0.0887999999999991,0.009013878188659974,0.455,1
Gaia DR2 5698142736635180800,-0.03238,-0.027578,19.277741153897264,0.0036791015201096183,0.13060000000000116,0.012218837915284742,0.453,1
Gaia DR2 5698166273047309952,0.002155,0.003021,19.55878042830772,0.0038561512424889755,0.15449999999999875,0.030708467887538775,0.451,1
Gaia DR2 5698163764786270848,0.049685,0.013603,19.753868021574274,0.005570717863339524,0.305299999999999,0.04882888489408702,0.448,1
Gaia DR2 5698163245097588480,0.022716,-0.019467,19.622081143362998,0.004501587122921517,0.22690000000000055,0.019654261624390778,0.445,1
Gaia DR2 5698163416896380416,0.017832,0.001199,18.181473403408354,0.002433723849818227,0.1053999999999995,0.007256031973468695,0.441,1
Gaia DR2 5698139541179499648,0.00317,-0.056504,18.136150767320018,0.0022632953052088593,0.1042999999999985,0.010288342918079667,0.434,1
Gaia DR2 5698166715431437952,-0.029428,0.044478,18.036277794361233,0.0023692996968949797,0.08999999999999986,0.008026207074328447,0.433,1
Gaia DR2 5698166444850453120,-0.009798,0.021433,19.28448383118572,0.003974058781040655,0.10259999999999891,0.020715453169071633,0.433,1
Gaia DR2 5698166234394888064,-0.009222,-0.006061,20.407977119759032,0.006796521680320589,0.3146999999999984,0.044818857638275436,0.43,1
Gaia DR2 5698166238692028288,-0.017544,2.6e-05,20.412430814754483,0.006464007947526683,0.17249999999999943,0.06234621079103364,0.43,1
Gaia DR2 5698166341776650752,-0.022919,0.012007,17.61579606706651,0.002123332451423329,0.10460000000000136,0.018908199279677584,0.429,1
Gaia DR2 5698166337474173184,-0.017053,0.003003,19.5148390992778,0.004288056398766084,0.08650000000000091,0.021312203077110542,0.429,1
