metal log(age) E_BV dm mass
0.01400 9.50500 0.38336 13.50521 9000.00000
0.01400 9.50500 0.38269 13.50521 7900.00000
0.01300 9.50500 0.38269 13.50521 7900.00000
0.01300 9.50500 0.38200 13.50521 7900.00000
0.01300 9.50500 0.38200 13.54455 7900.00000
0.01300 9.50500 0.38261 13.54455 7900.00000
0.01300 9.50500 0.37662 13.54455 7900.00000
0.01300 9.49750 0.38270 13.54455 7900.00000
0.01300 9.50500 0.37749 13.54455 9000.00000
0.01300 9.50500 0.38270 13.56629 9000.00000
0.01200 9.50500 0.38167 13.58556 9000.00000
0.01200 9.50500 0.37692 13.55631 9000.00000
0.01200 9.50500 0.37692 13.55728 9000.00000
0.01300 9.50500 0.37151 13.55693 9000.00000
0.01300 9.50500 0.37673 13.55693 9000.00000
0.01200 9.50500 0.38291 13.58163 9000.00000
0.01900 9.57250 0.37040 13.58163 9000.00000
0.01200 9.50500 0.38223 13.52598 7900.00000
0.01200 9.50500 0.37702 13.52598 7900.00000
0.01200 9.50500 0.38267 13.55657 7900.00000
0.01200 9.50500 0.37043 13.58098 7100.00000
0.01200 9.50500 0.37043 13.56661 9000.00000
0.01300 9.50500 0.38303 13.58122 9000.00000
0.01200 9.50500 0.38303 13.58357 7900.00000
0.01200 9.50500 0.37633 13.55766 9000.00000
0.01200 9.49750 0.37633 13.55953 9000.00000
0.01900 9.50500 0.38256 13.58343 7900.00000
0.01300 9.50500 0.38256 13.58343 7900.00000
0.01300 9.50500 0.37627 13.58343 7900.00000
0.01300 9.50500 0.38311 13.58343 9000.00000
0.01300 9.50500 0.37635 13.58343 9000.00000
0.01300 9.50500 0.38264 13.58094 8600.00000
0.01400 9.50500 0.38264 13.55660 7900.00000
0.01200 9.50500 0.38266 13.55677 7900.00000
0.01900 9.50500 0.38271 13.55683 9000.00000
0.01900 9.50500 0.38271 13.55683 9000.00000
0.01300 9.49750 0.38271 13.55721 9000.00000
0.01300 9.50500 0.38271 13.55721 7900.00000
0.01300 9.50500 0.38290 13.55721 7100.00000
0.01300 9.50500 0.38290 13.55721 7100.00000
0.01200 9.50500 0.25930 13.55721 9000.00000
0.01200 9.50500 0.38271 13.55631 7900.00000
0.01200 9.50500 0.37627 13.55631 9000.00000
0.01300 9.50500 0.38018 13.58283 9000.00000
0.01200 9.50500 0.37617 13.58283 9000.00000
0.01300 9.50500 0.38267 13.58283 7600.00000
0.01300 9.50500 0.38287 13.58283 9000.00000
0.01300 9.49750 0.38200 13.58283 9000.00000
0.01300 9.50500 0.37642 13.58283 9000.00000
0.01900 9.50500 0.37642 13.56642 9000.00000
0.01300 9.51250 0.38249 13.55660 9000.00000
0.01300 9.51250 0.38271 13.55862 9000.00000
0.01200 9.50500 0.37817 13.55559 7900.00000
0.01300 9.50500 0.38270 13.58202 7900.00000
0.01200 9.50500 0.38199 13.58202 5700.00000
0.01300 9.50500 0.38226 13.58202 7900.00000
0.01300 9.50500 0.37635 13.58099 9000.00000
0.01300 9.50500 0.37635 13.58099 8600.00000
0.01300 9.50500 0.37722 13.55631 7900.00000
0.01300 9.50500 0.38199 13.55631 7100.00000
0.01300 9.50500 0.38199 13.55631 7100.00000
0.01700 9.50500 0.37100 13.55631 7100.00000
0.01300 9.50500 0.37100 13.55763 7900.00000
0.01200 9.50500 0.37640 13.55631 7900.00000
0.01300 9.50500 0.37624 13.55632 5700.00000
0.01300 9.50500 0.38228 13.55678 5700.00000
0.01200 9.50500 0.38228 13.55678 7600.00000
0.01300 9.50500 0.37668 13.55678 7600.00000
0.01300 9.49750 0.38382 13.58293 7600.00000
0.01300 9.49750 0.37648 13.58293 5700.00000
0.01200 9.50500 0.37648 13.56705 5700.00000
0.01300 9.50500 0.37648 13.55544 7900.00000
0.01300 9.50500 0.37679 13.55542 7900.00000
0.01200 9.50500 0.37627 13.52004 7900.00000
0.01300 9.50500 0.37634 13.52004 7900.00000
0.01300 9.50500 0.37636 13.52004 8600.00000
0.01900 9.50500 0.37719 13.58386 8600.00000
0.01900 9.50500 0.38304 13.58386 8600.00000
0.01300 9.50500 0.38281 13.56649 7100.00000
0.01300 9.50500 0.37608 13.55966 9000.00000
0.01300 9.50500 0.37608 13.55630 9000.00000
0.01300 9.49750 0.37721 13.55644 9000.00000
0.01300 9.50500 0.37633 13.52417 9000.00000
0.01300 9.51250 0.37050 13.51865 7900.00000
0.01300 9.51250 0.37050 13.55628 9000.00000
0.01200 9.51250 0.37067 13.55628 9000.00000
0.01200 9.51250 0.38219 13.54959 9000.00000
0.01300 9.50500 0.38018 13.54959 7900.00000
0.01200 9.50500 0.38260 13.52466 7900.00000
0.01200 9.50500 0.38260 13.52466 7900.00000
0.01300 9.51250 0.38260 13.52466 7900.00000
0.01900 9.51250 0.37631 13.55641 7900.00000
0.01900 9.51250 0.37692 13.55652 7900.00000
0.01200 9.51250 0.38260 13.55652 7900.00000
0.01900 9.51250 0.38189 13.55640 7900.00000
0.01900 9.51250 0.37467 13.56722 7000.00000
0.01300 9.50500 0.38309 13.56722 7100.00000
0.01300 9.50500 0.37617 13.58178 7900.00000
0.01200 9.49750 0.38165 13.58178 7900.00000
0.01300 9.50500 0.38213 13.56671 7900.00000
0.01200 9.50500 0.37103 13.56775 7900.00000
0.01900 9.50500 0.38181 13.56775 9000.00000
0.01900 9.50500 0.38238 13.55670 7900.00000
0.01900 9.50500 0.38173 13.58371 9000.00000
0.01300 9.50500 0.38173 13.58371 9000.00000
0.01300 9.50500 0.38173 13.55643 9000.00000
0.01300 9.50500 0.37691 13.55962 9000.00000
0.01300 9.49750 0.38195 13.52142 7900.00000
0.01200 9.50500 0.37108 13.58317 7900.00000
0.01200 9.50500 0.38296 13.58317 7900.00000
0.01200 9.50500 0.38239 13.55751 7900.00000
0.01600 9.50500 0.37121 13.55751 7900.00000
0.01300 9.50500 0.37090 13.55749 9000.00000
0.01300 9.50500 0.37090 13.58254 9000.00000
0.01300 9.50500 0.38252 13.58254 9000.00000
0.01300 9.50500 0.38235 13.56623 9000.00000
0.01200 9.51250 0.37051 13.52466 9000.00000
0.01300 9.51250 0.37051 13.54799 9000.00000
0.01200 9.51250 0.37642 13.58342 9000.00000
0.01200 9.51250 0.38289 13.58342 9000.00000
0.01300 9.51250 0.38289 13.58316 9000.00000
0.01300 9.49750 0.38319 13.55548 9000.00000
0.01300 9.50500 0.38319 13.52098 7900.00000
0.01200 9.50500 0.38319 13.50014 9000.00000
0.01400 9.50500 0.38319 13.50014 9000.00000
0.01300 9.50500 0.38320 13.50014 9000.00000
0.01900 9.50500 0.38320 13.55354 9000.00000
0.01900 9.49750 0.38320 13.58316 7100.00000
0.01300 9.50500 0.38320 13.58216 7100.00000
0.01200 9.50500 0.38320 13.55662 7100.00000
0.01200 9.49750 0.38320 13.55662 7900.00000
0.01200 9.50500 0.38175 13.55696 9000.00000
0.01200 9.51250 0.38175 13.58130 7100.00000
0.01200 9.51250 0.38266 13.55116 7900.00000
0.01200 9.51250 0.37627 13.58108 9000.00000
0.01300 9.51250 0.37625 13.58108 9000.00000
0.01300 9.51250 0.37625 13.58108 9000.00000
0.01300 9.51250 0.37625 13.55424 7900.00000
0.01300 9.51250 0.37707 13.58115 7100.00000
0.01300 9.50500 0.38302 13.55948 7900.00000
0.01200 9.50500 0.38302 13.55948 7100.00000
0.01300 9.50500 0.37114 13.55695 7100.00000
0.01200 9.50500 0.38224 13.55695 7100.00000
0.01200 9.50500 0.38224 13.56772 9000.00000
0.01300 9.50500 0.37719 13.55758 7900.00000
0.01200 9.50500 0.38259 13.56755 7900.00000
0.01900 9.50500 0.37692 13.55737 7900.00000
0.01300 9.50500 0.38307 13.55737 7100.00000
0.01300 9.50500 0.38307 13.58182 7900.00000
0.01300 9.50500 0.37721 13.58303 9000.00000
0.01300 9.50500 0.37143 13.58303 9000.00000
0.01200 9.50500 0.37046 13.55652 9000.00000
0.01200 9.50500 0.38271 13.55652 8600.00000
0.01300 9.50500 0.37626 13.55566 9000.00000
0.01300 9.50500 0.37626 13.55682 9000.00000
0.01300 9.50500 0.37626 13.56727 9000.00000
0.01300 9.50500 0.37626 13.55948 7900.00000
