#ID           G   (iP1-zP1)   e_G   e_(iP1-zP1)   M_ini   M_act  logL/Lo  logTe  logG  mbol
10      20.5366 0.2658  0.0090  0.0500  0.9234   0.9234   -0.4051  3.7078   4.5919   5.7828  
11      20.7496 0.1760  0.0117  0.0559  0.8878   0.8878   -0.4844  3.6966   4.6088   5.9809  
12      20.3616 0.1139  0.0077  0.0466  0.9473   0.9473   -0.3527  3.7151   4.5796   5.6519  
13      20.3725 0.1805  0.0077  0.0466  0.9473   0.9473   -0.3527  3.7151   4.5796   5.6519  
14      20.0509 0.1285  0.0056  0.0400  1.0007   1.0007   -0.2394  3.7303   4.5506   5.3682  
15      20.0500 0.1220  0.0056  0.0400  1.0007   1.0007   -0.2394  3.7303   4.5506   5.3682  
16      19.5922 0.0478  0.0039  0.0323  1.0836   1.0836   -0.0721  3.7514   4.5027   4.9502  
17      19.6041 0.1462  0.0039  0.0323  1.0836   1.0836   -0.0721  3.7514   4.5027   4.9502  
18      19.6000 0.1120  0.0039  0.0323  1.0836   1.0836   -0.0721  3.7514   4.5027   4.9502  
19      19.7112 0.0920  0.0043  0.0341  1.0622   1.0622   -0.1149  3.7461   4.5154   5.0572  
110     19.4137 0.0521  0.0035  0.0296  1.1192   1.1192   -0.0036  3.7596   4.4805   4.7790  
111     19.2372 0.0746  0.0032  0.0272  1.1548   1.1549   0.0649   3.7677   4.4584   4.6079  
112     19.4151 0.0635  0.0035  0.0296  1.1192   1.1192   -0.0036  3.7596   4.4805   4.7790  
113     18.6482 0.0710  0.0025  0.0205  1.2877   1.2877   0.2984   3.7941   4.3776   4.0243  
114     18.7379 0.0819  0.0026  0.0214  1.2664   1.2664   0.2629   3.7902   4.3905   4.1131  
115     18.4427 0.0604  0.0024  0.0186  1.3394   1.3395   0.3802   3.8032   4.3495   3.8194  
116     18.5551 0.0327  0.0025  0.0197  1.3091   1.3091   0.3338   3.7979   4.3647   3.9355  
117     17.8891 -0.0085 0.0022  0.0144  1.4919   1.4919   0.5985   3.8297   4.2839   3.2734  
118     18.0344 0.0087  0.0023  0.0154  1.4492   1.4492   0.5408   3.8223   4.2996   3.4180  
119     17.5074 -0.0382 0.0021  0.0121  1.6159   1.6159   0.7530   3.8533   4.2586   2.8875  
120     17.4040 -0.0176 0.0021  0.0115  1.6523   1.6523   0.7971   3.8603   4.2521   2.7771  
121     17.1625 -0.0334 0.0021  0.0103  1.7414   1.7414   0.8981   3.8778   4.2440   2.5247  
122     16.9087 -0.0524 0.0021  0.0092  1.8446   1.8445   1.0072   3.8983   4.2418   2.2520  
123     16.6123 -0.0650 0.0021  0.0080  1.9819   1.9819   1.1412   3.9227   4.2367   1.9174  
124     16.3463 -0.0667 0.0021  0.0071  2.1239   2.1239   1.2691   3.9449   4.2277   1.5973  
125     15.9944 -0.0898 0.0021  0.0061  2.3389   2.3389   1.4472   3.9738   4.2068   1.1520  
126     15.6566 -0.0932 0.0021  0.0052  2.5827   2.5827   1.6327   4.0024   4.1786   0.6880  
127     14.8380 -0.1065 0.0021  0.0037  3.2372   3.2372   2.0748   4.0616   4.0716   -0.4168 
128     14.3498 -0.1168 0.0021  0.0030  3.6309   3.6309   2.3177   4.0854   3.9741   -1.0242 
129     13.8453 -0.1154 0.0021  0.0025  3.9965   3.9965   2.5412   4.0959   3.8340   -1.5833 
