metal log(age) mass
0.03100 9.19750 800.00000
0.03100 9.19750 800.00000
0.03100 9.19750 1300.00000
0.03100 9.16000 1300.00000
0.03700 9.16000 1300.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.19750 1300.00000
0.03500 9.19750 1300.00000
0.02100 9.19750 1000.00000
0.03700 9.19750 1600.00000
0.03700 9.15250 800.00000
0.03100 9.16000 800.00000
0.05100 9.16000 800.00000
0.03700 9.19750 800.00000
0.03700 9.19750 800.00000
0.03700 9.19750 1300.00000
0.03700 9.59500 800.00000
0.03700 9.16000 800.00000
0.03100 9.16000 800.00000
0.03100 9.16000 1000.00000
0.03100 7.56250 1300.00000
0.03100 9.19750 1100.00000
0.03100 9.19750 1100.00000
0.03700 9.13750 1300.00000
0.03100 9.13750 1300.00000
0.03100 9.16000 1300.00000
0.03100 9.15250 900.00000
0.03100 9.15250 900.00000
0.03700 9.44500 1000.00000
0.03700 9.19750 1000.00000
0.03700 9.22000 1000.00000
0.03100 9.13750 800.00000
0.03100 9.13750 1300.00000
0.03500 9.13750 900.00000
0.02500 9.17500 900.00000
0.03900 9.17500 1300.00000
0.03900 9.17500 1300.00000
0.05300 7.56250 1200.00000
0.03700 7.56250 1200.00000
0.05300 7.56250 800.00000
0.03700 9.19750 900.00000
0.03100 9.13750 900.00000
0.05500 9.19750 900.00000
0.03100 9.19750 800.00000
0.03100 9.13750 1000.00000
0.03100 9.13750 1300.00000
0.03100 9.19750 1100.00000
0.03100 9.13750 1300.00000
0.03700 9.19750 900.00000
0.04900 9.16000 900.00000
0.03700 9.16000 1300.00000
0.02500 9.16000 1300.00000
0.03100 9.19750 1000.00000
0.03100 9.16000 1000.00000
0.03900 9.19750 1300.00000
0.05300 9.19750 1300.00000
0.05300 7.52500 800.00000
0.03700 7.52500 800.00000
0.03700 9.16000 800.00000
0.03100 9.19750 800.00000
0.03100 9.16000 800.00000
0.03100 9.13750 800.00000
0.03100 9.16000 800.00000
0.05100 9.13750 800.00000
0.03100 9.19750 900.00000
0.03100 9.19750 900.00000
0.03100 7.49500 900.00000
0.04100 7.49500 900.00000
0.03100 9.16000 800.00000
0.03100 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 1300.00000
0.03700 9.15250 1300.00000
0.03700 7.44250 900.00000
0.03100 9.15250 900.00000
0.03100 7.49500 1200.00000
0.03100 7.56250 900.00000
0.03500 9.15250 900.00000
0.05300 7.44250 800.00000
0.03100 9.34000 1300.00000
0.03100 9.44500 800.00000
0.03700 9.16000 800.00000
0.05300 9.19750 800.00000
0.03700 9.19750 800.00000
0.03700 9.17500 800.00000
0.03100 7.51750 800.00000
0.03100 9.16000 800.00000
0.03100 9.16000 800.00000
0.03100 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.13750 900.00000
0.03700 9.17500 900.00000
0.03700 9.19750 800.00000
0.05100 9.19750 800.00000
0.03700 9.19750 900.00000
0.01900 9.19750 900.00000
0.03100 7.48000 1300.00000
0.03100 9.19750 800.00000
0.03900 9.16000 800.00000
0.05900 7.49500 800.00000
0.03700 7.49500 1300.00000
0.03100 9.16000 800.00000
0.03100 9.16000 800.00000
0.03100 9.19750 900.00000
0.03100 7.51750 900.00000
0.05900 9.15250 900.00000
0.03100 9.19750 900.00000
0.03700 7.44250 800.00000
0.03700 7.44250 800.00000
0.03700 9.19750 800.00000
0.05300 9.19750 800.00000
0.03100 9.19750 800.00000
0.03700 7.53250 1000.00000
0.03100 9.19750 800.00000
0.03100 9.16000 1300.00000
0.03100 9.16000 1300.00000
0.03700 7.49500 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.05300 9.19750 800.00000
0.04100 9.19750 800.00000
0.04100 9.16000 900.00000
0.03100 9.19750 900.00000
0.03100 7.49500 1300.00000
0.03100 7.49500 1300.00000
0.03100 7.49500 900.00000
0.03100 7.56250 900.00000
0.03100 7.56250 1300.00000
0.05300 9.19750 1300.00000
0.03900 9.19750 800.00000
0.03900 9.19750 800.00000
0.03500 9.19750 900.00000
0.03900 7.44250 1000.00000
0.05300 9.19750 900.00000
0.04100 9.19750 900.00000
0.03700 9.19750 900.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03100 9.16000 1300.00000
0.03700 9.16000 1000.00000
0.03700 9.16000 1000.00000
0.03700 9.62500 800.00000
0.03700 9.16000 800.00000
0.03700 9.19750 800.00000
0.03700 9.16000 800.00000
0.03700 7.48000 900.00000
0.03700 9.19750 900.00000
0.03700 9.19750 900.00000
0.05300 9.19750 900.00000
0.05300 9.19750 800.00000
0.05300 9.19750 800.00000
0.03100 9.19750 800.00000
0.03700 9.19750 900.00000
0.03700 9.19750 800.00000
0.05900 9.19750 800.00000
0.03100 9.19750 800.00000
0.03100 9.19750 1300.00000
0.03100 7.56250 1300.00000
0.03100 9.17500 1300.00000
0.03100 9.19750 1300.00000
0.03700 9.59500 900.00000
0.03700 9.16000 800.00000
0.05100 9.16000 1300.00000
0.03100 9.16000 1300.00000
0.03100 9.16000 900.00000
0.03100 9.16000 800.00000
0.03500 9.16000 1000.00000
0.03700 9.16000 1300.00000
0.03700 9.19750 1300.00000
0.05300 9.19750 1300.00000
0.05300 9.16000 1000.00000
0.05500 9.16000 1000.00000
0.03100 9.19750 900.00000
0.03100 9.19750 800.00000
0.03100 9.19750 800.00000
0.03100 9.13750 900.00000
0.03700 9.16000 900.00000
0.03700 7.51750 900.00000
0.03700 7.51750 800.00000
0.03100 7.51750 1300.00000
0.03700 7.56250 1000.00000
0.03700 7.49500 1000.00000
0.03700 9.19750 900.00000
0.03700 9.19750 800.00000
0.03700 9.19750 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 800.00000
0.03700 9.16000 1300.00000
0.03700 9.13750 1300.00000
0.03100 9.16000 1300.00000
0.04100 7.49500 900.00000
0.05100 7.49500 800.00000
0.03900 9.16000 900.00000
0.03100 9.13750 800.00000
