metal log(age) E_BV dm
0.00700 9.48250 0.30311 13.24282
0.00700 9.48250 0.29976 13.25135
0.00700 9.48250 0.30775 13.14678
0.00700 9.48250 0.30520 13.23786
0.00700 9.48250 0.30074 13.24907
0.00700 9.48250 0.29788 13.25624
0.00700 9.48250 0.29824 13.25610
0.00300 9.45250 0.36085 13.00084
0.00300 9.45250 0.36085 13.00084
0.00300 9.45250 0.35996 13.00387
0.00700 9.48250 0.31022 13.14148
0.00700 9.48250 0.30078 13.24867
0.00700 9.48250 0.30210 13.24568
0.00700 9.48250 0.29905 13.25388
0.00700 9.48250 0.30111 13.24776
0.00700 9.48250 0.29529 13.26320
0.00700 9.48250 0.29885 13.25396
0.00700 9.48250 0.29935 13.25267
0.00700 9.48250 0.29935 13.25267
0.00700 9.48250 0.29637 13.26027
0.00700 9.48250 0.29204 13.27120
0.00700 9.48250 0.30727 13.15105
0.00700 9.48250 0.29810 13.25564
0.00700 9.48250 0.30301 13.24369
0.00300 9.45250 0.36132 13.00052
0.00300 9.45250 0.36132 13.00052
0.00300 9.45250 0.36132 13.00052
0.00700 9.48250 0.30650 13.23385
0.00700 9.48250 0.30211 13.24595
0.00700 9.48250 0.29652 13.25990
0.00700 9.48250 0.30143 13.24730
0.00700 9.48250 0.29872 13.25438
0.00700 9.48250 0.30305 13.24327
0.00700 9.48250 0.30436 13.23999
0.00700 9.48250 0.30215 13.24556
0.00700 9.48250 0.29172 13.27220
0.00700 9.48250 0.30160 13.24680
0.00700 9.48250 0.29681 13.25896
0.00700 9.48250 0.30199 13.24576
0.00700 9.48250 0.29707 13.25816
0.00700 9.48250 0.30065 13.24897
0.00700 9.48250 0.29951 13.25200
0.00700 9.48250 0.30042 13.25023
0.00700 9.48250 0.30078 13.24865
0.00700 9.48250 0.29872 13.25453
0.00700 9.48250 0.29647 13.25975
0.00700 9.48250 0.29762 13.25674
0.00700 9.48250 0.29836 13.25520
0.00700 9.48250 0.29946 13.25265
0.00700 9.48250 0.29958 13.25221
0.00700 9.48250 0.29770 13.25672
0.00700 9.48250 0.29616 13.26060
0.00700 9.48250 0.29867 13.25413
0.00700 9.48250 0.30261 13.24427
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00300 9.45250 0.36141 13.00011
0.00700 9.48250 0.29786 13.25625
0.00700 9.48250 0.30121 13.24856
0.00300 9.45250 0.36095 13.00067
0.00300 9.45250 0.36095 13.00067
0.00300 9.45250 0.36095 13.00067
0.00300 9.45250 0.36095 13.00067
0.00300 9.45250 0.36095 13.00067
0.00700 9.48250 0.29501 13.26435
0.00700 9.48250 0.29764 13.25753
0.00700 9.48250 0.29476 13.26501
0.00700 9.48250 0.30462 13.23907
0.00700 9.48250 0.30255 13.24411
0.00700 9.48250 0.30125 13.24816
0.00700 9.48250 0.29602 13.26149
0.00300 9.45250 0.36075 13.00099
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00300 9.45250 0.36078 13.00080
0.00700 9.48250 0.30170 13.24665
0.00700 9.48250 0.29814 13.25608
0.00300 9.45250 0.36111 13.00051
0.00300 9.45250 0.36111 13.00051
0.00700 9.48250 0.29791 13.25698
0.00700 9.48250 0.29796 13.25693
0.00700 9.48250 0.29598 13.26090
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36098 13.00114
0.00300 9.45250 0.36104 13.00023
0.00300 9.45250 0.36108 13.00167
0.00300 9.45250 0.36121 13.00129
0.00300 9.45250 0.36121 13.00129
0.00700 9.48250 0.30034 13.25009
0.00700 9.48250 0.30030 13.25019
0.00700 9.48250 0.29997 13.25075
0.00700 9.48250 0.29870 13.25400
0.00700 9.48250 0.29909 13.25306
0.00700 9.48250 0.29750 13.25736
0.00700 9.48250 0.30528 13.23788
0.00700 9.48250 0.29997 13.25085
0.00700 9.48250 0.30197 13.24606
0.00700 9.48250 0.30163 13.24726
0.00300 9.45250 0.36108 13.00081
0.00300 9.45250 0.36122 13.00084
0.00300 9.45250 0.36122 13.00084
0.00300 9.45250 0.36122 13.00084
0.00300 9.45250 0.36123 13.00091
0.00300 9.45250 0.36112 13.00013
0.00300 9.45250 0.36112 13.00013
