NAME                     c_x      c_y     r_cl    e_rcl      r_c     e_rc      r_t     e_rt      kcp      CI   n_memb_k     n_memb  n_memb_da  memb_par     a_f   met_me   met_ml      e_m   age_me   age_ml      e_a E(B-V)_me E(B-V)_ml   e_E   dist_me  dist_ml      e_d   M_i_me   M_i_ml      e_M bin_fr_me bin_fr_ml   e_bf      M1 M2  f1 f2 f3 f4 f5 f6 f7  FC
GAIA4_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.033    0.041  0.01229   9.8125   9.9624   0.1351  1.05517  1.01315    0.045  12.4077  12.2727     0.25     2200     2000      419        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA2_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.039    0.053  0.02164      9.7     9.73   0.0571 0.210853 0.189349    0.027  13.8089  13.7547    0.119     3100     3200      198        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA1_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.019    0.021  0.00346     9.55   9.5425   0.0221 0.363233 0.356185     0.01  13.5449  13.5637    0.074     6200     7300      402        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA5_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.051  0.01941    8.215   7.5475   0.7436 0.174573 0.0743746   0.136  14.1741  13.3611    0.675      300      100      351        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA7_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.023    0.009  0.01979    7.495   7.0675   0.4616 0.952507 0.963547     0.04  13.2503  13.3024    0.405      500      400      140        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA6_11                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.035    0.039  0.01485     8.86   8.8525   0.1655 0.280532 0.297796    0.027  13.6346  13.7712    0.228     1100     1200      176        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA5_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.91         -1          0         -1       inf    1.00    0.031    0.003  0.01991   8.2375     7.06   0.7759 0.176475 0.310086    0.149  14.1559  14.4706    0.682      300      200      399        0        0      nan       0  0   1  1  0  0  1  1  0   4
GAIA4_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.80         -1        108         40      0.46    1.00    0.043    0.027  0.01715   9.7749   9.6925   0.0405  1.03834  1.08516     0.02  12.2824  12.6699    0.124     1900     2200      191        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA7_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.77         -1         29         34     -0.08    1.00    0.025    0.047  0.01751   7.5475   7.1425   0.4788 0.955044 0.933888    0.034  13.1234  13.7055    0.585      400      400      140        0        0      nan       0  0   1  1  0  0  1  0  0   3
GAIA2_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.79         -1        131        150     -0.07    1.00    0.029    0.009  0.01989     9.55     9.55   0.0674 0.248719 0.274151    0.023  13.8987   13.864     0.08     2100     1800      269        0        0      nan       0  0   0  1  0  0  1  0  0   2
GAIA6_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.84         -1        134         49      0.46    1.00    0.021    0.017  0.01029   8.8675   8.9425   0.1805 0.250775 0.235061    0.024  13.3593  13.2409    0.195     1000      900      171        0        0      nan       0  0   1  1  0  0  1  0  1   4
GAIA1_12                   0        0        0        0       -1       -1       -1       -1    -1.00    0.65         -1       1117       1346     -0.09    1.00    0.021    0.013   0.0056   9.5575     9.52   0.0263 0.350641 0.359909    0.014  13.5736   13.736    0.088     6300     9800     1285        0        0      nan       0  0   0  1  0  0  1  0  0   2
